  Wow! You did not just throw a black lesbian under the bus who suffered discrimination… ,0.7166666666666667,-0.02083333333333333,Negative
"_manga okay first of all how DARE you assume skirts have pockets at all, let alone deep ones! 

:) Underst… ",0.5583333333333333,0.3125,Positive
: Me 🤝🏿 skirts ,0.0,0.0,Neutral
I need to stack up on shorts &amp; skirts. Be making the outfit look 5x better fr,0.5,0.5,Positive
  I don't get it. What's wrong. A man talking to two women. So? Short skirts and heels? I… ,0.6,-0.25,Negative
": LONG SKIRTS from the howtoTHINKwhenyouDRAW encyclopedia - the world’s ONLY encyclopedia of drawing tutorials, posted…",0.7,-0.025,Negative
": LONG SKIRTS from the howtoTHINKwhenyouDRAW encyclopedia - the world’s ONLY encyclopedia of drawing tutorials, posted…",0.7,-0.025,Negative
": xiaoven 
Knife and dagger

((I just wanted to draw cute skirts :) )) ",1.0,0.5,Positive
: It is a typical Samburu village except for one thing: no men live here. Jane arrival is greeted by singing and dancing from…,0.5,-0.015151515151515152,Negative
": LONG SKIRTS from the howtoTHINKwhenyouDRAW encyclopedia - the world’s ONLY encyclopedia of drawing tutorials, posted…",0.7,-0.025,Negative
"_stars: Anne &amp; timeskip Sasha really said:
purple skirts 😌🤝 ",0.2,0.2,Positive
Me 🤝🏿 skirts ,0.0,0.0,Neutral
": Cute skirts that you can get on  ✨

A thread:
SalwaShops ",1.0,0.5,Positive
"TBT  brings us to the 90’s! Early 90’s were the 80’s spilled over, just add more lace, bows and full skirts. By th… ",0.45,0.31666666666666665,Positive
": LONG SKIRTS from the howtoTHINKwhenyouDRAW encyclopedia - the world’s ONLY encyclopedia of drawing tutorials, posted…",0.7,-0.025,Negative
Ivan’s getting a huge raise/promotion. He said think of something I want that he can get me w his first check. Lol… ,0.6166666666666667,0.32500000000000007,Positive
: slutty boys w their slutty waists in slutty skirts 🫶🏽,0.0,0.0,Neutral
 __w    Kilts are skirts by a different name! Clothes… ,0.6,0.0,Neutral
": LONG SKIRTS from the howtoTHINKwhenyouDRAW encyclopedia - the world’s ONLY encyclopedia of drawing tutorials, posted…",0.7,-0.025,Negative
": My shop has been really slow recently and I’m nearly at the bottom of my overdraft, so if anyone feels like sharing my…",0.3499999999999999,-0.06666666666666668,Negative
": 迪奥文化挪用抗议 Dior抄袭
Chinese students in Paris to protest Dior's appropriation of hanfu skirts. Despite that, the fashion c…",0.0,0.0,Neutral
i wanna wear pretty black emo skirts one day,0.7166666666666667,0.04166666666666667,Positive
 Tim I’m sick for buying shorts/jeans/skirts and the such just to find out I can’t fit my wallet/phone or I… ,0.5857142857142857,-0.10476190476190476,Negative
Where is my belly &amp; ass gonna go in these micro skirts?,0.0,0.0,Neutral
My school change the skirts we are allowed have wear and they are so long and ugly man and I can't waer trousers cu… ,0.7,-0.375,Negative
: Boys in skirts. Boys in skirts. Boys in skirts. Boys in skirts. Boys in skirts. Boys in skirts. Boys in skirts. Boys in skir…,0.0,0.0,Neutral
